date,exists,filename,version,revision,n_lpw_l2_files,status
2015-05-01,yes,mvn_lpw_l2_mrgscpot_20150501_v02_r02.cdf,2,2,10,ok
2015-05-02,yes,mvn_lpw_l2_mrgscpot_20150502_v02_r02.cdf,2,2,10,ok
2015-05-03,yes,mvn_lpw_l2_mrgscpot_20150503_v02_r02.cdf,2,2,10,ok
2015-05-04,yes,mvn_lpw_l2_mrgscpot_20150504_v02_r02.cdf,2,2,7,ok
2015-05-05,yes,mvn_lpw_l2_mrgscpot_20150505_v02_r02.cdf,2,2,10,ok
2015-05-06,yes,mvn_lpw_l2_mrgscpot_20150506_v02_r02.cdf,2,2,10,ok
2015-05-07,yes,mvn_lpw_l2_mrgscpot_20150507_v02_r02.cdf,2,2,10,ok
2015-05-08,yes,mvn_lpw_l2_mrgscpot_20150508_v02_r02.cdf,2,2,10,ok
2015-05-09,yes,mvn_lpw_l2_mrgscpot_20150509_v02_r02.cdf,2,2,10,ok
2015-05-10,yes,mvn_lpw_l2_mrgscpot_20150510_v02_r02.cdf,2,2,10,ok
2015-05-11,yes,mvn_lpw_l2_mrgscpot_20150511_v02_r02.cdf,2,2,10,ok
2015-05-12,yes,mvn_lpw_l2_mrgscpot_20150512_v02_r02.cdf,2,2,10,ok
2015-05-13,yes,mvn_lpw_l2_mrgscpot_20150513_v02_r02.cdf,2,2,10,ok
2015-05-14,yes,mvn_lpw_l2_mrgscpot_20150514_v02_r02.cdf,2,2,10,ok
2015-05-15,yes,mvn_lpw_l2_mrgscpot_20150515_v02_r02.cdf,2,2,7,ok
2015-05-16,yes,mvn_lpw_l2_mrgscpot_20150516_v02_r02.cdf,2,2,7,ok
2015-05-17,yes,mvn_lpw_l2_mrgscpot_20150517_v02_r02.cdf,2,2,7,ok
2015-05-18,yes,mvn_lpw_l2_mrgscpot_20150518_v02_r02.cdf,2,2,7,ok
2015-05-19,yes,mvn_lpw_l2_mrgscpot_20150519_v02_r02.cdf,2,2,10,ok
2015-05-20,yes,mvn_lpw_l2_mrgscpot_20150520_v02_r02.cdf,2,2,7,ok
2015-05-21,yes,mvn_lpw_l2_mrgscpot_20150521_v02_r02.cdf,2,2,7,ok
2015-05-22,yes,mvn_lpw_l2_mrgscpot_20150522_v02_r02.cdf,2,2,10,ok
2015-05-23,yes,mvn_lpw_l2_mrgscpot_20150523_v02_r02.cdf,2,2,7,ok
2015-05-24,yes,mvn_lpw_l2_mrgscpot_20150524_v02_r02.cdf,2,2,7,ok
2015-05-25,yes,mvn_lpw_l2_mrgscpot_20150525_v02_r02.cdf,2,2,10,ok
2015-05-26,yes,mvn_lpw_l2_mrgscpot_20150526_v02_r02.cdf,2,2,10,ok
2015-05-27,yes,mvn_lpw_l2_mrgscpot_20150527_v02_r02.cdf,2,2,10,ok
2015-05-28,yes,mvn_lpw_l2_mrgscpot_20150528_v02_r02.cdf,2,2,10,ok
2015-05-29,yes,mvn_lpw_l2_mrgscpot_20150529_v02_r02.cdf,2,2,10,ok
2015-05-30,yes,mvn_lpw_l2_mrgscpot_20150530_v02_r02.cdf,2,2,10,ok
2015-05-31,yes,mvn_lpw_l2_mrgscpot_20150531_v02_r02.cdf,2,2,10,ok
2015-06-01,yes,mvn_lpw_l2_mrgscpot_20150601_v02_r02.cdf,2,2,10,ok
2015-06-02,yes,mvn_lpw_l2_mrgscpot_20150602_v02_r02.cdf,2,2,10,ok
2015-06-03,yes,mvn_lpw_l2_mrgscpot_20150603_v02_r02.cdf,2,2,10,ok
2015-06-04,yes,mvn_lpw_l2_mrgscpot_20150604_v02_r02.cdf,2,2,10,ok
2015-06-05,yes,mvn_lpw_l2_mrgscpot_20150605_v02_r02.cdf,2,2,7,ok
2015-06-06,yes,mvn_lpw_l2_mrgscpot_20150606_v02_r02.cdf,2,2,7,ok
2015-06-07,yes,mvn_lpw_l2_mrgscpot_20150607_v02_r02.cdf,2,2,7,ok
2015-06-08,yes,mvn_lpw_l2_mrgscpot_20150608_v02_r02.cdf,2,2,7,ok
2015-06-09,yes,mvn_lpw_l2_mrgscpot_20150609_v02_r02.cdf,2,2,7,ok
2015-06-10,yes,mvn_lpw_l2_mrgscpot_20150610_v02_r02.cdf,2,2,7,ok
2015-06-11,yes,mvn_lpw_l2_mrgscpot_20150611_v02_r02.cdf,2,2,7,ok
2015-06-12,yes,mvn_lpw_l2_mrgscpot_20150612_v02_r02.cdf,2,2,7,ok
2015-06-13,yes,mvn_lpw_l2_mrgscpot_20150613_v02_r02.cdf,2,2,7,ok
2015-06-14,yes,mvn_lpw_l2_mrgscpot_20150614_v02_r02.cdf,2,2,7,ok
2015-06-15,yes,mvn_lpw_l2_mrgscpot_20150615_v02_r02.cdf,2,2,7,ok
2015-06-16,yes,mvn_lpw_l2_mrgscpot_20150616_v02_r02.cdf,2,2,7,ok
2015-06-17,yes,mvn_lpw_l2_mrgscpot_20150617_v02_r02.cdf,2,2,7,ok
2015-06-18,yes,mvn_lpw_l2_mrgscpot_20150618_v02_r02.cdf,2,2,7,ok
2015-06-19,yes,mvn_lpw_l2_mrgscpot_20150619_v02_r02.cdf,2,2,7,ok
